timestamp,time_seq,voltage,current
2025-07-18T18:43:21.947135,0,-155.1,-2.1
2025-07-18T18:43:22.031160,0,-155.1,-2.1
2025-07-18T18:43:22.031276,1,-155.1,-2.1
2025-07-18T18:43:23.666330,2,-155.1,-2.1
2025-07-18T18:43:23.666459,3,-155.1,-2.1
2025-07-18T18:43:23.666496,4,-155.1,-2.1
2025-07-18T18:43:23.666522,5,-155.1,-2.1
2025-07-18T18:43:23.666547,6,-155.1,-2.1
2025-07-18T18:43:23.666571,7,-155.1,-2.1
2025-07-18T18:43:23.666598,8,-155.1,-2.1
2025-07-18T18:43:23.666632,9,-155.1,-2.1
2025-07-18T18:43:23.666663,10,-155.1,-2.1
2025-07-18T18:43:23.666693,11,-155.1,-2.1
2025-07-18T18:43:23.666729,12,-155.1,-2.1
2025-07-18T18:43:23.666780,13,-155.1,-2.1
2025-07-18T18:43:23.666817,14,-155.1,-2.1
2025-07-18T18:43:23.666851,15,-155.1,-2.1
2025-07-18T18:43:23.666887,16,-155.1,-2.1
2025-07-18T18:43:23.666921,17,-155.1,-2.1
2025-07-18T18:43:23.666946,18,-155.1,-2.1
2025-07-18T18:43:23.666968,19,-155.1,-2.1
2025-07-18T18:43:23.666990,20,-155.1,-2.1
2025-07-18T18:43:23.667012,21,-155.1,-2.1
2025-07-18T18:43:23.667034,22,-155.1,-2.1
2025-07-18T18:43:23.667056,23,-155.1,-2.1
2025-07-18T18:43:23.667078,24,-155.1,-2.1
2025-07-18T18:43:23.667100,25,-155.1,-2.1
2025-07-18T18:43:23.667130,26,-155.1,-2.1
2025-07-18T18:43:23.667164,27,-155.1,-2.1
2025-07-18T18:43:23.667201,28,-155.1,-2.1
2025-07-18T18:43:23.667237,29,-155.1,-2.1
2025-07-18T18:43:23.667271,30,-155.1,-2.1
2025-07-18T18:43:23.856416,2,-155.1,-2.1
2025-07-18T18:43:23.856541,3,-155.1,-2.1
2025-07-18T18:43:23.856583,4,-155.1,-2.1
2025-07-18T18:43:23.856611,5,-155.1,-2.1
2025-07-18T18:43:23.856635,6,-155.1,-2.1
2025-07-18T18:43:23.856659,7,-155.1,-2.1
2025-07-18T18:43:23.856682,8,-155.1,-2.1
2025-07-18T18:43:23.856705,9,-155.1,-2.1
2025-07-18T18:43:23.856728,10,-155.1,-2.1
2025-07-18T18:43:23.856751,11,-155.1,-2.1
2025-07-18T18:43:23.856786,12,-155.1,-2.1
2025-07-18T18:43:23.856810,13,-155.1,-2.1
2025-07-18T18:43:23.856833,14,-155.1,-2.1
2025-07-18T18:43:23.856855,15,-155.1,-2.1
2025-07-18T18:43:23.856878,16,-155.1,-2.1
2025-07-18T18:43:23.856901,17,-155.1,-2.1
2025-07-18T18:43:23.856923,18,-155.1,-2.1
2025-07-18T18:43:23.856946,19,-155.1,-2.1
2025-07-18T18:43:23.856969,20,-155.1,-2.1
2025-07-18T18:43:23.856992,21,-155.1,-2.1
2025-07-18T18:43:23.857015,22,-155.1,-2.1
2025-07-18T18:43:23.857038,23,-155.1,-2.1
2025-07-18T18:43:23.857062,24,-155.1,-2.1
2025-07-18T18:43:23.857085,25,-155.1,-2.1
2025-07-18T18:43:23.857109,26,-155.1,-2.1
2025-07-18T18:43:23.857157,27,-155.1,-2.1
2025-07-18T18:43:23.857183,28,-155.1,-2.1
2025-07-18T18:43:23.857205,29,-155.1,-2.1
2025-07-18T18:43:23.857227,30,-155.1,-2.1
2025-07-18T18:43:23.857249,31,-155.1,-2.1
2025-07-18T18:43:25.474181,32,-155.1,-2.1
2025-07-18T18:43:25.474309,33,-155.1,-2.1
2025-07-18T18:43:25.474350,34,-155.1,-2.1
2025-07-18T18:43:25.474381,35,-155.1,-2.1
2025-07-18T18:43:25.474408,36,-155.1,-2.1
2025-07-18T18:43:25.474436,37,-155.1,-2.1
2025-07-18T18:43:25.474463,38,-155.1,-2.1
2025-07-18T18:43:25.474489,39,-155.1,-2.1
2025-07-18T18:43:25.474515,40,-155.1,-2.1
2025-07-18T18:43:25.474541,41,-155.1,-2.1
2025-07-18T18:43:25.474567,42,-155.1,-2.1
2025-07-18T18:43:25.474594,43,-155.1,-2.1
2025-07-18T18:43:25.474621,44,-155.1,-2.1
2025-07-18T18:43:25.474648,45,-155.1,-2.1
2025-07-18T18:43:25.474674,46,-155.1,-2.1
2025-07-18T18:43:25.474700,47,-155.1,-2.1
2025-07-18T18:43:25.474726,48,-155.1,-2.1
2025-07-18T18:43:25.474763,49,-155.1,-2.1
2025-07-18T18:43:25.474792,50,-155.1,-2.1
2025-07-18T18:43:25.474819,51,-155.1,-2.1
2025-07-18T18:43:25.474846,52,-155.1,-2.1
2025-07-18T18:43:25.474872,53,-155.1,-2.1
2025-07-18T18:43:25.474899,54,-155.1,-2.1
2025-07-18T18:43:25.474926,55,-155.1,-2.1
2025-07-18T18:43:25.474953,56,-155.1,-2.1
2025-07-18T18:43:25.474981,57,-155.1,-2.1
2025-07-18T18:43:25.475007,58,-155.1,-2.1
2025-07-18T18:43:25.475034,59,-155.1,-2.1
2025-07-18T18:43:27.069452,60,-155.1,-2.1
2025-07-18T18:43:27.069616,61,-155.1,-2.1
2025-07-18T18:43:27.069682,62,-155.1,-2.1
2025-07-18T18:43:27.069722,63,-155.1,-2.1
2025-07-18T18:43:27.069767,64,-155.1,-2.1
2025-07-18T18:43:27.069816,65,-155.1,-2.1
2025-07-18T18:43:27.069849,66,-155.1,-2.1
2025-07-18T18:43:27.069880,67,-155.1,-2.1
2025-07-18T18:43:27.069911,68,-155.1,-2.1
2025-07-18T18:43:27.069941,69,-155.1,-2.1
2025-07-18T18:43:27.069972,70,-155.1,-2.1
2025-07-18T18:43:27.070001,71,-155.1,-2.1
2025-07-18T18:43:27.070031,72,-155.1,-2.1
2025-07-18T18:43:27.070061,73,-155.1,-2.1
2025-07-18T18:43:27.070091,74,-155.1,-2.1
2025-07-18T18:43:27.070121,75,-155.1,-2.1
2025-07-18T18:43:27.070151,76,-155.1,-2.1
2025-07-18T18:43:27.070183,77,-155.1,-2.1
2025-07-18T18:43:27.070214,78,-155.1,-2.1
2025-07-18T18:43:27.070245,79,-155.1,-2.1
2025-07-18T18:43:27.070274,80,-155.1,-2.1
2025-07-18T18:43:27.070306,81,-155.1,-2.1
2025-07-18T18:43:27.070336,82,-155.1,-2.1
2025-07-18T18:43:27.070368,83,-155.1,-2.1
2025-07-18T18:43:27.070399,84,-155.1,-2.1
2025-07-18T18:43:27.070429,85,-155.1,-2.1
2025-07-18T18:43:27.070461,86,-155.1,-2.1
2025-07-18T18:43:27.176263,60,-155.1,-2.1
2025-07-18T18:43:27.176390,61,-155.1,-2.1
2025-07-18T18:43:27.176442,62,-155.1,-2.1
2025-07-18T18:43:27.176470,63,-155.1,-2.1
2025-07-18T18:43:27.176504,64,-155.1,-2.1
2025-07-18T18:43:27.176531,65,-155.1,-2.1
2025-07-18T18:43:27.176555,66,-155.1,-2.1
2025-07-18T18:43:27.176586,67,-155.1,-2.1
2025-07-18T18:43:27.176613,68,-155.1,-2.1
2025-07-18T18:43:27.176636,69,-155.1,-2.1
2025-07-18T18:43:27.176663,70,-155.1,-2.1
2025-07-18T18:43:27.176692,71,-155.1,-2.1
2025-07-18T18:43:27.176715,72,-155.1,-2.1
2025-07-18T18:43:27.176738,73,-155.1,-2.1
2025-07-18T18:43:27.176780,74,-155.1,-2.1
2025-07-18T18:43:27.176805,75,-155.1,-2.1
2025-07-18T18:43:27.176831,76,-155.1,-2.1
2025-07-18T18:43:27.176861,77,-155.1,-2.1
2025-07-18T18:43:27.176884,78,-155.1,-2.1
2025-07-18T18:43:27.176908,79,-155.1,-2.1
2025-07-18T18:43:27.176941,80,-155.1,-2.1
2025-07-18T18:43:27.176967,81,-155.1,-2.1
2025-07-18T18:43:27.176989,82,-155.1,-2.1
2025-07-18T18:43:27.177017,83,-155.1,-2.1
2025-07-18T18:43:27.177045,84,-155.1,-2.1
2025-07-18T18:43:27.177067,85,-155.1,-2.1
2025-07-18T18:43:27.177091,86,-155.1,-2.1
2025-07-18T18:43:27.177127,87,-155.1,-2.1
2025-07-18T18:43:28.771615,88,-155.1,-2.1
2025-07-18T18:43:28.771751,89,-155.1,-2.1
2025-07-18T18:43:28.771813,90,-155.1,-2.1
2025-07-18T18:43:28.771853,91,-155.1,-2.1
2025-07-18T18:43:28.771881,92,-155.1,-2.1
2025-07-18T18:43:28.771905,93,-155.1,-2.1
2025-07-18T18:43:28.771928,94,-155.1,-2.1
2025-07-18T18:43:28.771951,95,-155.1,-2.1
2025-07-18T18:43:28.771974,96,-155.1,-2.1
2025-07-18T18:43:28.771997,97,-155.1,-2.1
2025-07-18T18:43:28.772020,98,-155.1,-2.1
2025-07-18T18:43:28.772043,99,-155.1,-2.1
2025-07-18T18:43:28.772065,100,-155.1,-2.1
2025-07-18T18:43:28.772088,101,-155.1,-2.1
2025-07-18T18:43:28.772110,102,-155.1,-2.1
2025-07-18T18:43:28.772132,103,-155.1,-2.1
2025-07-18T18:43:28.772156,104,-155.1,-2.1
2025-07-18T18:43:28.772178,105,-155.1,-2.1
2025-07-18T18:43:28.772211,106,-155.1,-2.1
2025-07-18T18:43:28.772244,107,-155.1,-2.1
2025-07-18T18:43:28.772269,108,-155.1,-2.1
2025-07-18T18:43:28.772291,109,-155.1,-2.1
2025-07-18T18:43:28.772314,110,-155.1,-2.1
2025-07-18T18:43:28.772341,111,-155.1,-2.1
2025-07-18T18:43:28.772375,112,-155.1,-2.1
2025-07-18T18:43:28.772403,113,-155.1,-2.1
2025-07-18T18:43:28.772426,114,-155.1,-2.1
2025-07-18T18:43:28.901513,88,-155.1,-2.1
2025-07-18T18:43:28.901643,89,-155.1,-2.1
2025-07-18T18:43:28.901684,90,-155.1,-2.1
2025-07-18T18:43:28.901714,91,-155.1,-2.1
2025-07-18T18:43:28.901740,92,-155.1,-2.1
2025-07-18T18:43:28.901796,93,-155.1,-2.1
2025-07-18T18:43:28.901824,94,-155.1,-2.1
2025-07-18T18:43:28.901852,95,-155.1,-2.1
2025-07-18T18:43:28.901891,96,-155.1,-2.1
2025-07-18T18:43:28.901934,97,-155.1,-2.1
2025-07-18T18:43:28.901976,98,-155.1,-2.1
2025-07-18T18:43:28.902006,99,-155.1,-2.1
2025-07-18T18:43:28.902043,100,-155.1,-2.1
2025-07-18T18:43:28.902074,101,-155.1,-2.1
2025-07-18T18:43:28.902100,102,-155.1,-2.1
2025-07-18T18:43:28.902126,103,-155.1,-2.1
2025-07-18T18:43:28.902152,104,-155.1,-2.1
2025-07-18T18:43:28.902179,105,-155.1,-2.1
2025-07-18T18:43:28.902227,106,-155.1,-2.1
2025-07-18T18:43:28.902257,107,-155.1,-2.1
2025-07-18T18:43:28.902284,108,-155.1,-2.1
2025-07-18T18:43:28.902310,109,-155.1,-2.1
2025-07-18T18:43:28.902362,110,-155.1,-2.1
2025-07-18T18:43:28.902397,111,-155.1,-2.1
2025-07-18T18:43:28.902445,112,-155.1,-2.1
2025-07-18T18:43:28.902475,113,-155.1,-2.1
2025-07-18T18:43:28.902506,114,-155.1,-2.1
2025-07-18T18:43:28.902546,115,-155.1,-2.1
2025-07-18T18:43:30.494267,116,-155.1,-2.1
2025-07-18T18:43:30.494389,117,-155.1,-2.1
2025-07-18T18:43:30.494425,118,-155.1,-2.1
2025-07-18T18:43:30.494451,119,-155.1,-2.1
2025-07-18T18:43:30.494475,120,-155.1,-2.1
2025-07-18T18:43:30.494498,121,-155.1,-2.1
2025-07-18T18:43:30.494520,122,-155.1,-2.1
2025-07-18T18:43:30.494607,123,-155.1,-2.1
2025-07-18T18:43:30.494636,124,-155.1,-2.1
2025-07-18T18:43:30.494680,125,-155.1,-2.1
2025-07-18T18:43:30.494705,126,-155.1,-2.1
2025-07-18T18:43:30.494727,127,-155.1,-2.1
2025-07-18T18:43:30.494784,128,-155.1,-2.1
2025-07-18T18:43:30.494823,129,-155.1,-2.1
2025-07-18T18:43:30.494853,130,-155.1,-2.1
2025-07-18T18:43:30.494877,131,-155.1,-2.1
2025-07-18T18:43:30.494918,132,-155.1,-2.1
2025-07-18T18:43:30.494943,133,-155.1,-2.1
2025-07-18T18:43:30.494966,134,-155.1,-2.1
2025-07-18T18:43:30.495031,135,-155.1,-2.1
2025-07-18T18:43:30.495054,136,-155.1,-2.1
2025-07-18T18:43:30.495095,137,-155.1,-2.1
2025-07-18T18:43:30.495120,138,-155.1,-2.1
2025-07-18T18:43:30.495143,139,-155.1,-2.1
2025-07-18T18:43:30.495189,140,-155.1,-2.1
2025-07-18T18:43:30.495222,141,-155.1,-2.1
2025-07-18T18:43:30.495267,142,-155.1,-2.1
2025-07-18T18:43:32.109383,143,-155.1,-2.1
2025-07-18T18:43:32.109527,144,-155.1,-2.1
2025-07-18T18:43:32.109582,145,-155.1,-2.1
2025-07-18T18:43:32.109615,146,-155.1,-2.1
2025-07-18T18:43:32.109648,147,-155.1,-2.1
2025-07-18T18:43:32.109674,148,-155.1,-2.1
2025-07-18T18:43:32.109708,149,-155.1,-2.1
2025-07-18T18:43:32.109742,150,-155.1,-2.1
2025-07-18T18:43:32.109782,151,-155.1,-2.1
2025-07-18T18:43:32.109813,152,-155.1,-2.1
2025-07-18T18:43:32.109848,153,-155.1,-2.1
2025-07-18T18:43:32.109875,154,-155.1,-2.1
2025-07-18T18:43:32.109897,155,-155.1,-2.1
2025-07-18T18:43:32.109920,156,-155.1,-2.1
2025-07-18T18:43:32.109942,157,-155.1,-2.1
2025-07-18T18:43:32.109965,158,-155.1,-2.1
2025-07-18T18:43:32.109987,159,-155.1,-2.1
2025-07-18T18:43:32.110018,160,-155.1,-2.1
2025-07-18T18:43:32.110041,161,-155.1,-2.1
2025-07-18T18:43:32.110071,162,-155.1,-2.1
2025-07-18T18:43:32.110108,163,-155.1,-2.1
2025-07-18T18:43:32.110143,164,-155.1,-2.1
2025-07-18T18:43:32.110177,165,-155.1,-2.1
2025-07-18T18:43:32.110207,166,-155.1,-2.1
2025-07-18T18:43:32.110234,167,-155.1,-2.1
