timestamp,time_seq,voltage,current
2025-07-18T17:56:09.993848,0,222.1,2.1
2025-07-18T17:56:10.666183,0,222.1,2.1
2025-07-18T17:56:10.666323,1,222.1,2.1
2025-07-18T17:56:10.666388,2,222.1,2.1
2025-07-18T17:56:12.291231,3,222.1,2.1
2025-07-18T17:56:12.291385,4,222.1,2.1
2025-07-18T17:56:12.291438,5,222.1,2.1
2025-07-18T17:56:12.291479,6,222.1,2.1
2025-07-18T17:56:12.291517,7,222.1,2.1
2025-07-18T17:56:12.291555,8,222.1,2.1
2025-07-18T17:56:12.291603,9,222.1,2.1
2025-07-18T17:56:12.291641,10,222.1,2.1
2025-07-18T17:56:12.291678,11,222.1,2.1
2025-07-18T17:56:12.291715,12,222.1,2.1
2025-07-18T17:56:12.291751,13,222.1,2.1
2025-07-18T17:56:12.291788,14,222.1,2.1
2025-07-18T17:56:12.291824,15,222.1,2.1
2025-07-18T17:56:12.291859,16,222.1,2.1
2025-07-18T17:56:12.291896,17,222.1,2.1
2025-07-18T17:56:12.291932,18,222.1,2.1
2025-07-18T17:56:12.291967,19,222.1,2.1
2025-07-18T17:56:12.292004,20,222.1,2.1
2025-07-18T17:56:12.292039,21,222.1,2.1
2025-07-18T17:56:12.292074,22,222.1,2.1
2025-07-18T17:56:12.292110,23,222.1,2.1
2025-07-18T17:56:12.292145,24,222.1,2.1
2025-07-18T17:56:12.292181,25,222.1,2.1
2025-07-18T17:56:12.292218,26,222.1,2.1
2025-07-18T17:56:12.292255,27,222.1,2.1
2025-07-18T17:56:12.292291,28,222.1,2.1
2025-07-18T17:56:12.292327,29,222.1,2.1
2025-07-18T17:56:12.292363,30,222.1,2.1
2025-07-18T17:56:12.292399,31,222.1,2.1
2025-07-18T17:56:12.363101,3,222.1,2.1
2025-07-18T17:56:12.363217,4,222.1,2.1
2025-07-18T17:56:12.363253,5,222.1,2.1
2025-07-18T17:56:12.363279,6,222.1,2.1
2025-07-18T17:56:12.363303,7,222.1,2.1
2025-07-18T17:56:12.363326,8,222.1,2.1
2025-07-18T17:56:12.363349,9,222.1,2.1
2025-07-18T17:56:12.363372,10,222.1,2.1
2025-07-18T17:56:12.363394,11,222.1,2.1
2025-07-18T17:56:12.363417,12,222.1,2.1
2025-07-18T17:56:12.363439,13,222.1,2.1
2025-07-18T17:56:12.363463,14,222.1,2.1
2025-07-18T17:56:12.363485,15,222.1,2.1
2025-07-18T17:56:12.363508,16,222.1,2.1
2025-07-18T17:56:12.363531,17,222.1,2.1
2025-07-18T17:56:12.363553,18,222.1,2.1
2025-07-18T17:56:12.363575,19,222.1,2.1
2025-07-18T17:56:12.363607,20,222.1,2.1
2025-07-18T17:56:12.363629,21,222.1,2.1
2025-07-18T17:56:12.363652,22,222.1,2.1
2025-07-18T17:56:12.363674,23,222.1,2.1
2025-07-18T17:56:12.363696,24,222.1,2.1
2025-07-18T17:56:12.363719,25,222.1,2.1
2025-07-18T17:56:12.363741,26,222.1,2.1
2025-07-18T17:56:12.363763,27,222.1,2.1
2025-07-18T17:56:12.363786,28,222.1,2.1
2025-07-18T17:56:12.363808,29,222.1,2.1
2025-07-18T17:56:12.363830,30,222.1,2.1
2025-07-18T17:56:12.363852,31,222.1,2.1
2025-07-18T17:56:12.363873,32,222.1,2.1
2025-07-18T17:56:14.053057,33,222.1,2.1
2025-07-18T17:56:14.053209,34,222.1,2.1
2025-07-18T17:56:14.053260,35,222.1,2.1
2025-07-18T17:56:14.053297,36,222.1,2.1
2025-07-18T17:56:14.053324,37,222.1,2.1
2025-07-18T17:56:14.053352,38,222.1,2.1
2025-07-18T17:56:14.053382,39,222.1,2.1
2025-07-18T17:56:14.053406,40,222.1,2.1
2025-07-18T17:56:14.053436,41,222.1,2.1
2025-07-18T17:56:14.053470,42,222.1,2.1
2025-07-18T17:56:14.053500,43,222.1,2.1
2025-07-18T17:56:14.053523,44,222.1,2.1
2025-07-18T17:56:14.053548,45,222.1,2.1
2025-07-18T17:56:14.053595,46,222.1,2.1
2025-07-18T17:56:14.053622,47,222.1,2.1
2025-07-18T17:56:14.053654,48,222.1,2.1
2025-07-18T17:56:14.053688,49,222.1,2.1
2025-07-18T17:56:14.053716,50,222.1,2.1
2025-07-18T17:56:14.053749,51,222.1,2.1
2025-07-18T17:56:14.053777,52,222.1,2.1
2025-07-18T17:56:14.053800,53,222.1,2.1
2025-07-18T17:56:14.053826,54,222.1,2.1
2025-07-18T17:56:14.053861,55,222.1,2.1
2025-07-18T17:56:14.053885,56,222.1,2.1
2025-07-18T17:56:14.053907,57,222.1,2.1
2025-07-18T17:56:14.053937,58,222.1,2.1
2025-07-18T17:56:14.053974,59,222.1,2.1
2025-07-18T17:56:14.053999,60,222.1,2.1
2025-07-18T17:56:15.653218,61,222.1,2.1
2025-07-18T17:56:15.653361,62,222.1,2.1
2025-07-18T17:56:15.653419,63,222.1,2.1
2025-07-18T17:56:15.653457,64,222.1,2.1
2025-07-18T17:56:15.653492,65,222.1,2.1
2025-07-18T17:56:15.653524,66,222.1,2.1
2025-07-18T17:56:15.653561,67,222.1,2.1
2025-07-18T17:56:15.653600,68,222.1,2.1
2025-07-18T17:56:15.653624,69,222.1,2.1
2025-07-18T17:56:15.653665,70,222.1,2.1
2025-07-18T17:56:15.653689,71,222.1,2.1
2025-07-18T17:56:15.653711,72,222.1,2.1
2025-07-18T17:56:15.653734,73,222.1,2.1
2025-07-18T17:56:15.653756,74,222.1,2.1
2025-07-18T17:56:15.653778,75,222.1,2.1
2025-07-18T17:56:15.653799,76,222.1,2.1
2025-07-18T17:56:15.653822,77,222.1,2.1
2025-07-18T17:56:15.653845,78,222.1,2.1
2025-07-18T17:56:15.653867,79,222.1,2.1
2025-07-18T17:56:15.653896,80,222.1,2.1
2025-07-18T17:56:15.653929,81,222.1,2.1
2025-07-18T17:56:15.653954,82,222.1,2.1
2025-07-18T17:56:15.653976,83,222.1,2.1
2025-07-18T17:56:15.653999,84,222.1,2.1
2025-07-18T17:56:15.654021,85,222.1,2.1
2025-07-18T17:56:15.654044,86,222.1,2.1
2025-07-18T17:56:15.738185,61,222.1,2.1
2025-07-18T17:56:15.738452,62,222.1,2.1
2025-07-18T17:56:15.738522,63,222.1,2.1
2025-07-18T17:56:15.738555,64,222.1,2.1
2025-07-18T17:56:15.738592,65,222.1,2.1
2025-07-18T17:56:15.738618,66,222.1,2.1
2025-07-18T17:56:15.738641,67,222.1,2.1
2025-07-18T17:56:15.738664,68,222.1,2.1
2025-07-18T17:56:15.738686,69,222.1,2.1
2025-07-18T17:56:15.738708,70,222.1,2.1
2025-07-18T17:56:15.738730,71,222.1,2.1
2025-07-18T17:56:15.738752,72,222.1,2.1
2025-07-18T17:56:15.738774,73,222.1,2.1
2025-07-18T17:56:15.738796,74,222.1,2.1
2025-07-18T17:56:15.738817,75,222.1,2.1
2025-07-18T17:56:15.738839,76,222.1,2.1
2025-07-18T17:56:15.738860,77,222.1,2.1
2025-07-18T17:56:15.738882,78,222.1,2.1
2025-07-18T17:56:15.738912,79,222.1,2.1
2025-07-18T17:56:15.738939,80,222.1,2.1
2025-07-18T17:56:15.738961,81,222.1,2.1
2025-07-18T17:56:15.738984,82,222.1,2.1
2025-07-18T17:56:15.739006,83,222.1,2.1
2025-07-18T17:56:15.739028,84,222.1,2.1
2025-07-18T17:56:15.739050,85,222.1,2.1
2025-07-18T17:56:15.739083,86,222.1,2.1
2025-07-18T17:56:15.739106,87,222.1,2.1
2025-07-18T17:56:17.366151,88,222.1,2.1
2025-07-18T17:56:17.366277,89,222.1,2.1
2025-07-18T17:56:17.366329,90,222.1,2.1
2025-07-18T17:56:17.366357,91,222.1,2.1
2025-07-18T17:56:17.366381,92,222.1,2.1
2025-07-18T17:56:17.366404,93,222.1,2.1
