timestamp,time_seq,voltage,current
2025-07-18T19:17:08.333501,0,-155.1,-2.1
2025-07-18T19:17:08.570195,0,-155.1,-2.1
2025-07-18T19:17:10.342573,1,-155.1,-2.1
2025-07-18T19:17:10.342703,2,-155.1,-2.1
2025-07-18T19:17:10.342743,3,-155.1,-2.1
2025-07-18T19:17:10.342769,4,-155.1,-2.1
2025-07-18T19:17:10.342794,5,-155.1,-2.1
2025-07-18T19:17:10.342819,6,-155.1,-2.1
2025-07-18T19:17:10.342842,7,-155.1,-2.1
2025-07-18T19:17:10.342865,8,-155.1,-2.1
2025-07-18T19:17:10.342888,9,-155.1,-2.1
2025-07-18T19:17:10.342922,10,-155.1,-2.1
2025-07-18T19:17:10.342947,11,-155.1,-2.1
2025-07-18T19:17:10.342977,12,-155.1,-2.1
2025-07-18T19:17:10.343006,13,-155.1,-2.1
2025-07-18T19:17:10.343029,14,-155.1,-2.1
2025-07-18T19:17:10.343058,15,-155.1,-2.1
2025-07-18T19:17:10.343086,16,-155.1,-2.1
2025-07-18T19:17:10.343119,17,-155.1,-2.1
2025-07-18T19:17:10.343159,18,-155.1,-2.1
2025-07-18T19:17:10.343197,19,-155.1,-2.1
2025-07-18T19:17:10.343230,20,-155.1,-2.1
2025-07-18T19:17:10.343261,21,-155.1,-2.1
2025-07-18T19:17:10.343294,22,-155.1,-2.1
2025-07-18T19:17:10.343328,23,-155.1,-2.1
2025-07-18T19:17:10.343362,24,-155.1,-2.1
2025-07-18T19:17:10.343395,25,-155.1,-2.1
2025-07-18T19:17:10.343430,26,-155.1,-2.1
2025-07-18T19:17:10.343462,27,-155.1,-2.1
2025-07-18T19:17:10.343490,28,-155.1,-2.1
2025-07-18T19:17:10.343513,29,-155.1,-2.1
2025-07-18T19:17:10.343535,30,-155.1,-2.1
2025-07-18T19:17:10.343558,31,-155.1,-2.1
2025-07-18T19:17:10.343582,32,-155.1,-2.1
2025-07-18T19:17:10.343604,33,-155.1,-2.1
2025-07-18T19:17:10.343627,34,-155.1,-2.1
2025-07-18T19:17:10.343649,35,-155.1,-2.1
2025-07-18T19:17:10.343671,36,-155.1,-2.1
2025-07-18T19:17:10.343693,37,-155.1,-2.1
2025-07-18T19:17:10.343714,38,-155.1,-2.1
2025-07-18T19:17:10.343736,39,-155.1,-2.1
2025-07-18T19:17:10.343758,40,-155.1,-2.1
