timestamp,time_seq,voltage,current
2025-07-18T19:22:20.935801,0,-155.1,-2.1
2025-07-18T19:22:21.080042,0,-155.1,-2.1
2025-07-18T19:22:21.080161,1,-155.1,-2.1
2025-07-18T19:22:21.165158,0,-155.1,-2.1
2025-07-18T19:22:21.165272,1,-155.1,-2.1
2025-07-18T19:22:21.165309,2,-155.1,-2.1
2025-07-18T19:22:22.582659,3,-155.1,-2.1
2025-07-18T19:22:22.582782,4,-155.1,-2.1
2025-07-18T19:22:22.582819,5,-155.1,-2.1
2025-07-18T19:22:22.582846,6,-155.1,-2.1
2025-07-18T19:22:22.582870,7,-155.1,-2.1
2025-07-18T19:22:22.582894,8,-155.1,-2.1
2025-07-18T19:22:22.582917,9,-155.1,-2.1
2025-07-18T19:22:22.582940,10,-155.1,-2.1
2025-07-18T19:22:22.582964,11,-155.1,-2.1
2025-07-18T19:22:22.582997,12,-155.1,-2.1
2025-07-18T19:22:22.583020,13,-155.1,-2.1
2025-07-18T19:22:22.583043,14,-155.1,-2.1
2025-07-18T19:22:22.583065,15,-155.1,-2.1
2025-07-18T19:22:22.583089,16,-155.1,-2.1
2025-07-18T19:22:22.583111,17,-155.1,-2.1
2025-07-18T19:22:22.583134,18,-155.1,-2.1
2025-07-18T19:22:22.583156,19,-155.1,-2.1
2025-07-18T19:22:22.583179,20,-155.1,-2.1
2025-07-18T19:22:22.583202,21,-155.1,-2.1
2025-07-18T19:22:22.583224,22,-155.1,-2.1
2025-07-18T19:22:22.583246,23,-155.1,-2.1
2025-07-18T19:22:22.583267,24,-155.1,-2.1
2025-07-18T19:22:22.583289,25,-155.1,-2.1
2025-07-18T19:22:22.583311,26,-155.1,-2.1
2025-07-18T19:22:22.583333,27,-155.1,-2.1
2025-07-18T19:22:22.583356,28,-155.1,-2.1
2025-07-18T19:22:22.583378,29,-155.1,-2.1
2025-07-18T19:22:22.583402,30,-155.1,-2.1
2025-07-18T19:22:22.583423,31,-155.1,-2.1
2025-07-18T19:22:22.583446,32,-155.1,-2.1
2025-07-18T19:22:22.583467,33,-155.1,-2.1
2025-07-18T19:22:22.583489,34,-155.1,-2.1
2025-07-18T19:22:22.583511,35,-155.1,-2.1
2025-07-18T19:22:22.583533,36,-155.1,-2.1
2025-07-18T19:22:22.583555,37,-155.1,-2.1
